0	4
0	5
0	7
0	8
0	9
0	10
0	12
0	13
0	14
0	15
0	23
0	25
0	28
0	29
0	34
0	37
0	38
0	40
0	41
0	42
0	43
0	45
0	47
0	48
1	0
1	2
1	4
1	5
1	7
1	8
1	10
1	11
1	12
1	13
1	15
1	17
1	22
1	23
1	27
1	28
1	29
1	30
1	31
1	36
1	38
1	39
1	40
1	41
1	42
1	45
1	46
1	48
1	49
2	5
2	6
2	7
2	8
2	9
2	10
2	11
2	12
2	13
2	14
2	17
2	19
2	21
2	22
2	23
2	27
2	28
2	29
2	34
2	36
2	38
2	40
2	41
2	43
2	45
2	46
2	47
2	49
3	0
3	1
3	2
3	4
3	5
3	8
3	9
3	10
3	11
3	14
3	15
3	17
3	19
3	21
3	22
3	25
3	27
3	28
3	29
3	30
3	31
3	34
3	35
3	36
3	37
3	38
3	39
3	40
3	41
3	42
3	43
3	45
3	46
3	47
3	49
4	9
4	10
4	12
4	13
4	14
4	25
5	4
5	7
5	9
5	13
5	25
5	31
5	34
5	35
5	40
5	45
5	46
5	48
6	0
6	4
6	5
6	8
6	10
6	12
6	13
6	15
6	19
6	25
6	29
6	34
6	37
6	38
6	39
6	42
6	45
6	47
6	48
7	4
7	12
7	14
7	25
7	38
7	39
7	41
7	49
8	4
8	5
8	9
8	10
8	12
8	14
8	15
8	19
8	23
8	25
8	30
8	31
8	34
8	38
8	39
8	40
8	42
8	45
9	10
9	49
11	0
11	4
11	6
11	7
11	8
11	9
11	10
11	12
11	15
11	17
11	19
11	25
11	27
11	28
11	29
11	31
11	34
11	35
11	36
11	37
11	38
11	40
11	41
11	42
11	45
11	46
11	49
12	13
12	14
12	49
15	5
15	7
15	19
15	34
15	35
15	38
15	40
15	41
15	45
15	46
15	49
16	0
16	1
16	2
16	3
16	4
16	5
16	6
16	7
16	8
16	9
16	11
16	13
16	14
16	15
16	17
16	18
16	19
16	20
16	21
16	22
16	25
16	26
16	27
16	28
16	29
16	30
16	31
16	32
16	34
16	36
16	37
16	38
16	39
16	40
16	41
16	42
16	43
16	45
16	46
16	47
16	48
17	4
17	5
17	7
17	10
17	15
17	19
17	21
17	23
17	27
17	28
17	29
17	34
17	35
17	38
17	39
17	40
17	42
17	43
17	45
17	46
17	47
18	0
18	1
18	2
18	3
18	4
18	6
18	7
18	8
18	9
18	11
18	17
18	19
18	23
18	25
18	27
18	28
18	29
18	30
18	34
18	35
18	36
18	37
18	38
18	39
18	40
18	41
18	42
18	43
18	45
18	46
18	49
19	4
19	7
19	10
19	13
19	25
19	30
19	38
19	39
19	40
19	41
19	42
19	49
20	0
20	1
20	2
20	3
20	4
20	5
20	8
20	9
20	10
20	11
20	12
20	14
20	17
20	19
20	21
20	22
20	25
20	27
20	29
20	30
20	31
20	34
20	35
20	36
20	37
20	38
20	39
20	40
20	41
20	42
20	43
20	46
20	47
21	0
21	4
21	6
21	8
21	9
21	10
21	14
21	15
21	19
21	25
21	27
21	28
21	31
21	34
21	35
21	36
21	37
21	40
21	42
21	47
22	0
22	4
22	5
22	7
22	8
22	9
22	10
22	11
22	15
22	17
22	21
22	23
22	25
22	27
22	28
22	29
22	30
22	31
22	35
22	36
22	39
22	42
22	43
22	47
23	4
23	5
23	7
23	9
23	12
23	13
23	25
23	35
23	41
23	42
24	0
24	1
24	2
24	3
24	4
24	5
24	6
24	7
24	8
24	11
24	13
24	14
24	15
24	16
24	21
24	22
24	25
24	26
24	27
24	30
24	31
24	32
24	34
24	37
24	38
24	39
24	41
24	42
24	45
24	47
24	48
24	49
25	10
25	13
25	14
25	49
26	0
26	1
26	2
26	4
26	6
26	8
26	10
26	11
26	12
26	13
26	14
26	15
26	19
26	20
26	21
26	22
26	23
26	25
26	27
26	28
26	30
26	31
26	34
26	36
26	42
26	47
27	0
27	5
27	6
27	7
27	8
